id,sentence,label
56,"matt cale, a reviewer for ruthlessreviews.com, said: ""based on my initial, purely gut reaction, onibaba is a visual masterpiece, but also the sort of story that contains layer after layer of insight. i wouldn̢���t argue that i understood everything after one viewing, but i̢���m so intrigued that i want to read more reviews, scan a few clips, and even revisit the film in its entirety. it̢���s the sort of film made for contemplation; so mysterious and so blissfully unconcerned with immediate gratification that i have no doubt it will begin the slow climb up the list of films near and dear to my heart."" members of variety opened their review with: ""raw fare is sometimes high adventure and exciting, at other times dull in its so-called symbolism. too often, it turns out to be a pot-pourri of ravenous eating and blatant sex"", referring to the films violence and sexual overtones.",0
57,"at rastoke the slunj̳��ica leads into the river korana, which reaches this point after passing the plitvice lakes national park.",0
58,"a dystopia (from the greek δυσ- and τόπος, alternatively, cacotopia, kakotopia, cackotopia, or anti-utopia) is the vision of a [[ society ]] that is the opposite of utopia.",1
59,"the pounding of the infiltrometer into the ground deforms the soil, compressing it or causing cracks which can affect the measured infiltration capacity.",0
60,"in arabia, four hakims (native rulers) of the later emirate of qatar held the additional ottoman title of kaymakam in their administrative capacity since 1872 of district administrator since the establishment of ottoman sovereignty (as kazan of sandjak al-hasa, within the vilayet of baghdad, from 1875 basra vilayet) till this was exchanged on 3 november 1916 with a british protectorate (as sheikdom of qatar, colonially under the chief political resident of the persian gulf, at bahrein).",0
61,"the p-90 was then used on more budget models such as the es-330, the les paul junior and special, and the sg special, such as those used by pete townshend.",0
62,"these claims would have been validated by the .asia validation partner (there were two including deloitte touche) and where multiple applications were received, the domains would go to auction.",0
63,"the pleistocene (/ˈplaɪstəsiːn/) is  the epoch from 1.8 million to 10,000 years bp covering the world's recent period of repeated glaciations.",1
64,"in inorganic chemistry , a nitrate is a salt of nitric acid with an ion composed of one nitrogen and three oxygen atoms ( no 3) .",1
65,$joint stereo refers to any number of encoding techniques used for this purpose.,0
66,"furry often refers to fans of artwork , stories , and related products ( comics , movies , costumes , etc. ) which feature anthropomorphic animals .",1
67,the nursery is located at a forest spot beside tumkur-devarayanadurga bus route.,0
68,"he remade the piece in 1980 for thames television, as rhubarb rhubarb.",0
69,"cpg gained considerable underground popularity among fans, however, by then the music industry and authorities were also on the lookout.",0
70,for example barcelona had a great citadel built in 1714 to intimidate the catalans against repeating their mid 17th and early 18th century rebellions against the spanish central government.,0
71,"an empire (from the latin ""imperium"", denoting military command within the ancient roman government) is  a state that extends dominion over populations distinct culturally and ethnically from the culture/ethnicity at the center of power.",1
72,penetron screens were commercially manufactured from late 1960s until mid- 1980s for avionics and radar application due to their higher resolution compared to conventional crts.,0
73,"image: sinraptor_hepingensis2.jpg|skull of sinraptor hepingensis, beijing museum of natural history.",0
74,"in biology, phenetics, also known as numerical taxonomy or taximetrics, is  an attempt to classify organisms based on overall similarity, usually in morphology or other observable traits, regardless of their phylogeny or evolutionary relation.",1
75,"the 1694 edition of the dictionnaire de l'acad̰�mie fran̰�aise described a grisette as simply ""a woman of lowly condition"".",0
76,"in greek mythology , a nymph is  any member of a large class of mythological entities in human female form .",1
77,"a fluent can also be represented by a function, dropping the time argument.",0
78,country did not last long on the frequency and in 1975 wspk took on a top 40-leaning album-oriented rock format which struggled and went into a free fall after wpdh took on a truer aor format.,0
79,"feces are expelled from the body through the anus during the act of defecation, which is the primary function of the anus.",0
80,"""speedscript 128"".",0
81,abimelech being roughly my father is a sacrifice - a reference to abimelech being pious eastons      .,0
82,divorce decrees and their ancillary orders.,0
83,"c.24 an act for abolishing the offences of forestalling, regrating and engrossing, and for repealing certain statutes passed in restraint of trade, finally tidied up law by repealing 19 other acts passed between the reigns of henry iii and edward vi.",0
84,"each frame of lad control film, having the standard patch, with proven accurate exposures plus other information, is available from eastman kodak company.",0
85,"an anagram (greek anagramma 'letters written anew', passive participle of ana- 'again' + gramma 'letter') is a type of word play, the result of rearranging the letters of a word or phrase to produce a new word or phrase, using all the original letters exactly once.",1
86,"a municipality is an administrative entity composed of a clearly defined territory and its population and commonly denotes a city , town , or village , or a small grouping of them .",1
87,"finch, lusting for power, gained cybernetic parts and nanotechnology from an unknown benefactor, becoming gearhead, and wreaked havoc in gotham city.",0
88,"in nlp, a predicate is equivalent to verb phrase, used in the analysis of a sentence into a subject and predicate.",1
89,"in polish, kraków  is  an archaic possessive form of krak and essentially means ""krak's (town)"".",1
90,"at havok's command, tracer works as an assassin-for-hire for government officials, gaining valuable information on them for his master.",0
91,"the actinoid series derives its name from the first element in the series, actinium, and ultimately from the greek ������̶�����̶� (aktis), ""ray,"" reflecting the elements' radioactivity.",0
92,the adrenaline rushing through his body makes him take a greater risk each time.,0
93,the area of the town of $atlin is part of the inland tlingit nation.,0
94,"the phonograph , or gramophone , was the most common device for playing recorded sound from the 1870s through the 1980s .",1
95,"in 1960 however, the district of sargodha was created and $shahpur became one of its tehsils during their rule the british had a regular census of their indian empire, recording amongst other things religion and caste, the following table lists the percentage of the population belonging to each faith.",0
96,"in mathematics, the parabola (/pəˈræbələ/, from the greek παραβολή)  is  a conic section  generated by the intersection of a right circular conical surface and a plane parallel to a generating straight line of that surface.",1
97,"an applet is a software component that runs in the context of another program, for example a web browser.",1
98,"hol is an abbreviation for higher-order language , aka , high-level programming language , such as fortran , cobol , algol , pl/ 1 , or snobol to distinguish such programming languages from assembly language .",1
99,the red-eyed tree frog (litoria chloris) is a species of tree frog native to eastern australia.,1
100,"in 2004, priya ranjan dasmunsi of inc won in the raiganj (lok sabha constituency).",0
101,"the main gosthis which ruled the surasena were shorasenee, brishnis, yadavas or yadukul, etc.",0
102,"having been courted away from whb in 2003, when kcsp began, he ran a show for a few years.",0
103,"analgesic drugs act in various ways on the peripheral and central nervous systems; they include paracetamol (acetaminophen), the non-steroidal anti-inflammatory drugs (nsaids) such as the salicylates, narcotic drugs such as morphine, synthetic drugs with narcotic properties such as tramadol, and various others.",0
104,this is the second such series to spin out of the soulfire limited series.,0
105,"for example, linguists would not say that the english word sushi is cognate to the japanese word sushi, because the word was borrowed from japanese into english.",0
106,the realschule is ranked between hauptschule (lowest) and gymnasium (highest) in the secondary school system.,0
107,"unlike the mac-10, the bxp has an ambidextrous safety lever and a separate fire mode selector built into the trigger.",0
108,"henri-marie beyle (january 23, 1783 - march 23, 1842), better known by his penname stendhal, was  a 19th-century french writer .",1
109,"there has been discussions on whether the bibliotheca was in fact compiled in baghdad at the time of photius' embassy to the abbasid court in samarra in june 845, since many of the mentioned works - the majority by secular authors - seems to have been virtually nonexistent in both contemporary and later byzantium.",0
110,"covering the head is respectful in sikhism and if a man is not wearing a turban, then a rum̳�l must be worn before entering the gurdwara.",0
111,"nshima is relatively cheap and affordable for most of the population, although occasionally prices have risen due to shortages, contributing to economic and political instability.",0
112,"it was first defined by professor nicolas cl̰�ment in 1824 as a kilogram-calorie, and this definition entered french and english dictionaries between 1841 and 1867.",0
113,"poznań ( posnania ; posen ; poznan ) is a city in west-central poland with over 567,882 inhabitants ( 2006 ) .",1
114,the beagle is a breed of medium-sized dog.,1
115,the word mambo (which means conversation with the gods)  is  the name of a priestess in haitian voodoo.,1
116,nek records and performs in both italian and spanish.,0
117,kms refers to a knowledge management solution .,1
118,"the route starts at central avenue in west molesey and runs through east molesey, past hampton court station and on to kingston town centre where there are connections to buses throughout the local area.",0
119,the most common example is in the head of a tap (faucet) where the gland is usually packed with string which has been soaked in tallow or similar grease.,0
120,the indigetes minted their own coins which bore the inscription undikesken in northeastern iberian script that is interpreted in iberian language as a self-reference to the ethnic name of that people: from the indigetes or from those of undika.,0
121,"a horticulturist may be a plantsman, but a plantsman is not necessarily a horticulturist.",0
122,"despite being one of the oldest luxembourgian clubs in existence, having been founded in 1910, p̰�tange have one only one trophy, the luxembourg cup in 2004-05.",0
123,the two determinants are of the f-factor are the effective z of the material and the type of ionizing radiation being considered.,0
124,"rhodes (ρόδος, ródos,/ˈroðos/, rodi, ردوس, rodos, ladino: rodi or rodes)  is  a greek island approximately convert southwest of turkey in eastern aegean sea.",1
125,"the dauphin and the duke of alen̰�on failed to bring about any sympathetic rising in auvergne, and the praguerie was over, except for some final pillaging and plundering in saintonge and poitou, which the royal army failed to prevent.",0
126,he lost most of his family in october 2005 balakot earthquake.,0
127,the oromo are an african ethnic group found in ethiopia and to a lesser extent in kenya .,1
128,"pythium wilt is caused by zoospore infection of older plants leading to biotrophic infections that become necrotrophic in response to colonization/reinfection pressures or environmental stress (jarvis, 1992; owen-going, 2005; owen-going et al., 2009), leading to minor or severe wilting caused by impeded root functioning (jarvis, 1992; bagnall, 2007).",0
129,"in 1991 when the irs seized the accounts receivable, wczx was sold to locally based beehive entertainment which picked up many personalities formerly of weok which had previously been the oldies station in the market.",0
130,confusability of phonemes grouped according to their viseme classes in noisy environments.,0
131,the deathwatch are uniquely organized in that the marines that make up the deathwatch are drawn from many different chapters.,0
132,"the album was re-released in 2006 with new liner notes and a bonus dvd (entitled ""vile live"") featuring a full concert from the vile tour, during which many songs from the album are performed.",0
133,"a brave battle was fought by godfrey o'donnell, lord of tirconnell, in defence of his country, with the lord justice of ireland, maurice fitzgerald, and the other english nobles of connaught, at creadran-cille in ros-cede, in the territory of carbury, to the north of sligo.",0
134,oed gives the date of first known reference to a horse-drawn gig as 1791.,0
135,"the story traces the decline of a drunken and dissolute poet, baal, an anti-hero who rejects the conventions and trappings of polite society.",0
136,"in greek mythology , minos ( ancient greek : μίνως ) was a mythical king of crete , son of zeus and europa .",1
137,hydroxyl in chemistry stands for a molecule consisting of an oxygen atom and a hydrogen atom connected by a covalent bond .,1
138,"the $tentorium is formed by ingrowths of the exoskeleton, called apophyses, which fuse in various ways to provide rigid support for the muscles of the head (particularly those associated with the mouthparts) and additional protection for the brain and other neural structures.",0
139,"the unique feature of ning is that anyone can create their own custom social network for a particular topic or need, catering to specific audiences.",0
140,"the radiation source (e.g., laser) is pointed at the interior of the hohlraum, rather than on the capsule itself (a process known as ""direct drive""), which absorbs and reradiates the energy as x-rays.",0
141,the 5t gang started forming in the mid 1980's.,0
142,"when catiline left rome in 63 bc, after cicero's first speech, cethegus remained behind as leader of the conspirators with lentulus sura.",0
143,"earlier papers referred to calreticulin as an ro/ss-a antigen, but this was later disproven.",0
144,in 1996 polferries approved quality assurance system the international safety management code (ism).,0
145,"the siren of the title is the call of datatsushi, summoning the residents of hanuda to immerse themselves in the red water, thus creating an army of subordinates called nihongo.",0
146,a stellarator is a device used to confine a hot plasma with magnetic fields in order to sustain a controlled nuclear fusion reaction .,1
147,bronco is an unbroken or imperfectly broken mustang.,1
148,this version of shark is voiced by googy gress.,0
149,"in social anthropology and sociobiology, polyandry (greek: poly- many, andros- man)  refers  to a form of polygamous marriage , or other sexual union, in which one woman is married to two or more husbands at the same time.",1
150,a physicist is a scientist who studies or practices physics .,1
151,"grinded tea is a special sort of hakka drinking, which is very traditional among hakkas in mainland china.",1
152,": - details the way gio64 connects to external gio boards, eisa, and other devices.",0
153,the word angula refers to a measure equal to a finger's breadth.,1
154,"a multivibrator is an electronic circuit used to implement a variety of simple two-state systems such as oscillators , timers and flip-flops .",1
155,"in currency , frank ( or franc  ) refers to the currency of switzerland since 1850.",1
156,"an antipope (latin: antipapa) is a person who makes a widely accepted claim to be the lawful pope, in opposition to the pope recognized by the roman catholic church.",1
157,"as well, cyttorak has demonstrated the ability to create life (dr. strange (vol.3) #44), when he created an entire race of elves out of magical energy simply so he could have somebody to worship and adore him.",0
158,"considerable prize money or goods are sometimes involved, and cars may even be sponsored or purpose-built specifically as ""burnout cars"".",0
159,"the primary school is a prominent landmark, along with konini road itself; a long bending street that moves from the suburb of glen eden to the idyllic setting of the waitakere ranges and native rain forest.",0
160,"unlike the androgynous taelons with whom they share a biological ancestor, the jaridians have two sexes, with both males and females engaging in combat.",0
161,a common use for a t-line is in a watercooling system such as the one found in enthusiast pcs.,0
162,"by the 17th and 18th centuries, the rank of general was present in all the militaries of the german states and saw its greatest usage by the militaries of bavaria and prussia.",0
163,"palatschinken are traditionally filled with apricot jam, rolled and sprinkled with some confectioner's sugar, but a variety of different fruit jams, chocolate sauce, nuts, dried or fresh fruit (banana slices etc), quark, poppy seed, or any combination thereof, are often used.",0
164,"a hi-hat , or hihat  , is  a type of cymbal and stand used as a typical part of a drum kit by percussionists in r&b , hip-hop , disco , jazz , rock and roll , house , and other forms of contemporary popular music .",1
165,"in 2003, the canadian polling company som found that more than 100,000 people in the quebec city area listen to cimi-fm, and that over 190,000 people know of or have heard of the station.",0
166,"because of the time and difficulty and expense involved in creating a concordance in the pre-computer era, only works of special importance, such as the bible, qur'an or the works of shakespeare, had concordances prepared for them.",0
167,the process by which an object is formally included in the collection is called accessioning and each object is given a unique accession number.,0
168,"the ostrogoths ( ostrogothi or austrogothi ) were  a branch of the goths , an east germanic tribe that played a major role in the political events of the late roman empire .",1
169,"the galliard ( gaillarde , in french ) was a form of renaissance dance and music popular all over europe in the 16th century .",1
170,"in christianity, a gospel (from old english, ""good news"")  is generally  one of four canonical books of the new testament that describe the birth, life, ministry, crucifixion, and resurrection of jesus.",1
171,"a century (from the latin cent, one hundred) is one hundred consecutive years.",1
172,"in the mathematical subfield of numerical analysis , a b-spline is a spline function that has minimal support with respect to a given degree , smoothness , and domain partition .",1
173,the helvetii were a celtic tribe and the main occupants of the swiss plateau in the 1st century bc .,1
174,"the university of oxford and the university of cambridge, collectively known as oxbridge,  are  the two oldest and most famous universities in britain.",1
175,more than 1% of bolivians practice the bah̰��'̰�� faith (giving bolivia one of the largest percentages of bah̰��'̰��s in the world).,0
176,the first $prowler was a criminal turned superhero by the name of hobie brown.,0
177,"the alexandrists were a school of renaissance philosophers who, in the great controversy on the subject of personal immortality, adopted the explanation of the de anima given by alexander of aphrodisias.",1
178,"the size of a washitsu is measured by the number of tatami mats, using the counter word j̷�� (̤����).",0
179,"the atom is the  of ordinary matter, that is the gases, liquids and solids that comprise the macroscopic world in which we live.",1
180,"nighthawk finishes with kicking whiteface, snapping his neck and knocking him into the treatment water to finally die.",0
181,"it is unknown exactly which lenses tamron will introduce into their four thirds line-up, however it is believed they will follow a similar route to rival lens manufacturer sigma, by releasing only a small selection of lenses in the initial line-up.",0
182,"in telecommunications , rs-232 ( recommended standard 232 ) is a standard for serial binary data signals connecting between a dte ( data terminal equipment ) and a dce ( data circuit-terminating equipment ) .",1
183,"a crossfire (also known as ""interlocking fire"") is a military term  for the siting of weapons (often automatic weapons such as machine guns) so that their arcs of fire overlap.",1
184,"the gylfaginning deals  with  the creation and destruction of the world of the norse gods , and many other aspects of norse mythology .",1
185,a programmer is someone who writes computer software .,1
186,the pony of monterufoli is also a variation on the maremmano breed.,0
187,"a monomer (from greek mono ""one"" and meros ""part"")  is  a small molecule  that may become chemically bonded to other monomers to form a polymer.",1
188,a cocktail is a style of mixed drink.,1
189,"millennialism (from millennium, latin for ""thousand years""), or chiliasm in greek,  is primarily  a belief expressed in some christian denominations, and literature, that there will be a golden age or paradise on earth where ""christ will reign"" prior to the final judgment and future eternal state, primarily derived from the book of bibleverse.",1
190,"egeus is very insistent that his daughter marry demetrius, despite her own feelings.",0
191,a plotter is a vector graphics printing device that connects to a computer .,1
192,"a ramjet,  sometimes referred  to as a stovepipe jet , is a form of jet engine that contains no major moving parts.",1
193,"a quantum bit , or qubit is  a unit of quantum information .",1
194,graph mining is the field  concerned with [extracting] interesting patterns and knowledge from graph.,1
195,"a dalek (""dah-leck"", /ˈdɑːlɛks/) is a member  of a fictional extraterrestrial [[ race of mutants ]] from the british science fiction television series doctor who.",1
196,a restaurant is a retai establishment that serves prepared food to customers .,1
197,"it owes its present name to an unproven identification of the site with the ancient volscian artena, destroyed in 404 bc.",0
198,"the ditches of the schaalbeke and pludderbach have their water flow split between liessow and laage, but most of the water flows north as the recknitz, while the lesser flow, called the augraben, runs south to the river nebel.",0
199,"for some people, adventure becomes a major pursuit in and of itself.",0
200,a pulley (also called a sheave or block)  is  a wheel with a groove between two flanges around its circumference.,1
201,dragonspires 2 is no longer running.,0
202,"blogcritics forums - a moderated discussion board for blogcritics, desicritics, glosslip, and blogcritics goodie bag writers and editors to discuss issues.",0
203,"according to chris claremont: ""basically, the notion behind vargas is that nature, abhoring a vacuum and perceiving one in the appearance of mass numbers of super-powered mutants, is attempting to redress the imbalance by jump-starting humanity to a level where they can compete with mutants and super-beings on relatively equal terms.""  vargas seems to the first known representative of the primary humanity's response and potential to cope with the growing number of genetically different humans which threatens the future of the conventional humans.",0
204,slayers is a dungeons and dragons-style parody that follows the adventures of the young sorceress lina inverse and her companions as they journey through their world .,1
205,"but with the riddler alive, he could tell people that falcone was actively looking for holiday, eliminating himself as a suspect.",0
206,karukachal is also home to many temples and churches.,0
207,"in object-oriented programming, a class is a programming language construct that is used as a blueprint to create objects.",1
208,visualflow was built to only run on sony vaio laptops or other sony products.,0
209,"in mathematics, especially in abstract algebra, a quasigroup  is  an algebraic structure resembling a group in the sense that ""division"" is always possible.",1
210,"the word 'borough' derives from a common indo-european language cognate, meaning 'fort'; compare borough, bury (england), burgh (scotland), burg (german), bourg (france), borg (scandanavia).",0
211,"an ion is an atom or molecule which has lost or gained one or more valence electrons , giving it a positive or negative electrical charge .",1
212,rarden rarden.,0
213,ejay was formed and created in 1997.,0
214,"the object of the game is to shoot and destroy asteroids and saucers while not colliding with either, or being hit by the saucers' counter-fire.",0
215,"alternate common spellings of warao are waroa, guarauno, guarao, and warrau.",0
216,"all of myanmar's internal airlines, myanma airways, air mandalay, yangon airways and air bagan have frequent flights to thandwe from most of their destinations.",0
217,"since the number of consonants in the world's languages is much greater than the number of consonant letters in any one alphabet, linguists have devised systems such as the international phonetic alphabet (ipa) to assign a unique symbol to each attested consonant.",0
218,"the farandole bears similarities to the gavotte, jig, and tarantella.",0
219,procyon is also the mammalian genus to which raccoons belong .,1
220,"howard stern, a soupy sales fan, referred to brad pitt and angelina jolie's new baby as shiloh kvetch on his june 7, 2006 radio show.",0
221,xl will not require a virtual machine to run.,0
222,"besides navy ships, nordseewerke builds container vessels and other freight ships.",0
223,"giustiniani printed 2,000 copies at his own expense, including fifty in vellum for presentation to the sovereigns of europe and asia; but the sale of the work did not encourage him to proceed with the new testament, which he had also prepared for the press.",0
224,"kocb also airs college basketball games from the big 12 conference via espn plus, airing up to ten regular season games per year as well as the big 12 tournament.",0
225,"a signature (from latin signare, ""sign"")  is  a handwritten (and sometimes stylized) depiction of someone's name, nickname or even a simple ""x"" that a person writes on documents as a proof of identity and intent.",1
226,"a bridge is a structure built to span a gorge, valley, road, railroad track, river, body of water, or any other physical obstacle, for the purpose of providing passage over the obstacle.",1
227,frankenstein is a novel infused with some elements of the gothic novel and the romantic movement .,1
228,"an assyrian tribute-list from this period, showing that ammon paid one-fifth of judah's tribute, gives evidence of the scanty extent and resources of the country.",0
229,"in linguistics and grammar , a pronoun is a pro-form that substitutes for a noun phrase ( including a noun phrase consisting of a single noun ) with or without a determiner , such as you and they in english .",1
230,gauntlet refers to a video game originally produced in 1985 by atari games .,1
231,"those whose usage of ayahuasca is performed in non-traditional contexts often align themselves with the philosophies and cosmologies associated with ayahuasca shamanism, as practiced among indigenous peoples like the urarina of peruvian amazonia.",0
232,the microvision was a hand-held game console released by the milton bradley company in 1979.,1
233,when stressed sexual fours express their envy more openly and can act out through violence or self-harm.,0
234,these are appropriate platforms for what may have been mainframe apl applications in the 1970s and 1980s.,0
235,"an author is defined both as ""the person who originates or gives existence to anything"" and as ""one who sets forth written statements"" in the oxford english dictionary.",1
236,ribonucleic acid ( rna ) is a nucleic acid and consists of a long chain of nucleotide units .,1
237,when kept in an aquarium cherubfish are distributed throughout the tank.,0
238,"a loch (usually lough as a name element outside scotland)  is a body  of water which is either a lake or a sea inlet, which may be also a firth, fjord, estuary or bay.",1
239,"prominent $occiput is a feature of trisomy 18 (edward's syndrome), along with small jaw, low-set ears, and mental retardation.",0
240,gibbon is the smallest and most perfectly anthropoid arboreal ape having long arms and no tail.,1
241,beol generally begins when the first layer of metal is deposited on the wafer.,0
242,wwwjdic makes use of a highly modified version of the public domain tanaka corpus for examples of sentences using japanese words.,0
243,molecular and morphological results suggest that the inclusion of the anomaluridae and pedetidae in hystricomorpha may be suspect.,0
244,"in 1007, henry ii, king of the romans, made bamberg a family inheritance, the seat of a separate diocese.",0
245,"however, the modern indians have seen how adversely the coalition states have responded to somebody else utilizing ""their"" samas designs.",0
246,"the joule (written in lower case, /ˈdʒuːl/ or /ˈdʒaʊl/) (symbol: j)  is the si unit [[ of energy ]] measuring heat, electricity and mechanical work.",1
247,the olenekian is divided into the smithian and the spathian age.,0
248,in the 1930 czechoslovakian census the hungarian population of bratislava had decreased to 15.8% (see the demographics of bratislava article for more details).,0
249,division of labour  or economic specialization is the specialization of [cooperative labour].,1
250,in rudy rucker's 2007 novel postsingular cuttlefish have mythical significance to people in a parallel universe (where they have already been fished to extinction).,0
251,"another translation is ""wisdom-being."" the various divisions of buddhism understand the word bodhisattva in different ways, but especially in mahayana buddhism, it mainly refers to a being that compassionately refrains from entering nirvana in order to save others.",0
